mean absolute percentage error,root mean squared error,R^2,mini child node size,tree depth
0.9625502919470802,4626.469125934788,0.6884939617662085,8,6
0.9311648189230322,4685.631464340511,0.6889564346392579,8,6
0.9211708138997544,4620.922202740156,0.6941106755139752,8,6
0.9527011055532798,4645.512395286885,0.6875400799351878,8,6
0.9253892718260889,4602.745605045933,0.6939054617307994,9,6
0.93750056,4665.923536361858,0.6873989301418636,9,6
0.9380711539953916,4655.387039922692,0.6899424917076542,9,6
0.9282230363991919,4570.552384175224,0.6998790506289005,9,6
0.9197623758936307,4560.282756,0.6997823504944857,9,6
0.9396569764908752,4600.322940029979,0.6958164794065989,10,6
0.9224293716826156,4579.950018265492,0.6983791923909363,10,6
0.9302630153480488,4632.814431,0.6918458434673349,10,6
0.9257006740894689,4586.530177048983,0.6997500427351401,10,6
0.9396785258070403,4582.233311743588,0.6948137124517688,10,6
0.9302396982875584,4587.956783753954,0.6958808468467019,11,6
0.9291850651835013,4636.642591256533,0.6904850718899411,11,6
0.9288801865993318,4553.330102049391,0.7030117941357326,11,6
0.9059442728081927,4602.7242637155005,0.699278313,11,6
0.913024759,4503.659724553713,0.7047578599749547,11,6
0.9195684510477898,4538.297983025186,0.7024209707045886,12,6
0.9160513683106198,4495.088252,0.7050956002234963,12,6
0.9381918453880327,4651.679489541096,0.6919481724850907,12,6
0.9276364756846189,4630.8188349113525,0.6952376449048343,12,6
0.924385657,4583.850857658347,0.6967765887816422,12,6
0.9197490116958699,4585.988269887608,0.6959025129045666,13,6
0.9147471643592959,4534.664103192123,0.7057103497878384,13,6
0.9229845134056232,4631.057333905432,0.6924666837309934,13,6
0.9102439913554986,4558.890043012311,0.7011780251736958,13,6
0.9088120507872062,4531.393286455722,0.7037311129611354,13,6
0.9091502479553348,4521.438371895711,0.7059306510980401,14,6
0.9115329354315851,4541.869947,0.703827697,14,6
0.9179519688243002,4602.894061937779,0.700027645,14,6
0.9124168206257831,4590.269662492204,0.6971453708296744,14,6
0.909720317,4480.0326060525285,0.7059591517074164,14,6
0.9181028044571765,4575.747611602713,0.6989949820563658,15,6
0.9165694445158422,4576.884863213118,0.6996351956262878,15,6
0.8949897092766769,4499.3930385532985,0.708360764,15,6
0.919149269,4553.917333669826,0.7022422247676752,15,6
0.9096489087738129,4549.696382499005,0.7011538343309576,15,6
0.8979559865672601,4497.533684854635,0.7089643525184894,16,6
0.8934619566954465,4474.295727025629,0.7106434107113273,16,6
0.8980683539197049,4557.773158511029,0.7035077,16,6
0.9154262603257991,4568.461819092706,0.7025809056581903,16,6
0.8993400611914596,4510.450379962049,0.7038864477791074,16,6
0.8884864314963995,4467.322542476941,0.7124698678345844,17,6
0.8940987999335587,4545.518470673023,0.7039830761189491,17,6
0.9083065584266984,4550.326007551749,0.7051399018785454,17,6
0.8824873897028044,4407.022279986174,0.7198024409273364,17,6
